sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,6,5,6,16,5
1,3,4,4,31,5
0,6,6,6,23,8
1,3,4,3,20,5
1,3,4,4,17,3
0,1,6,4,16,5
1,3,4,3,11,7
0,2,6,4,17,6
1,3,6,5,26,6
1,6,4,6,31,9
0,3,6,5,17,4
0,3,6,5,23,4
1,4,5,5,23,6
1,5,6,6,21,5
0,3,4,3,17,3
1,4,1,2,26,6
1,6,6,7,23,6
0,6,6,6,25,5
1,4,6,5,29,8
1,2,2,2,17,3
1,4,4,4,13,5
0,5,6,6,31,7
1,3,6,5,31,8
0,4,3,4,29,2
1,4,4,4,30,8
0,4,5,5,16,1
0,4,5,5,33,7
1,4,5,5,33,6
1,1,6,4,13,1
0,2,4,3,4,4
0,3,6,4,29,5
0,6,5,6,17,5
0,5,6,6,25,5
1,4,3,4,11,4
1,6,8,8,33,7
0,2,5,3,32,5
1,4,3,4,29,6
0,5,7,7,32,9
0,2,4,3,16,5
1,2,3,3,9,7
0,5,6,6,25,7
1,3,3,3,29,3
0,4,6,5,32,5
0,0,0,0,8,5
1,6,7,7,26,9
0,4,5,5,16,3
1,6,7,7,33,9
0,2,6,4,7,3
0,4,6,5,26,7
0,5,7,7,31,4
1,6,7,7,31,8
0,4,5,5,21,4
1,4,6,5,21,7
1,7,5,7,26,6
0,4,5,5,6,5
0,5,4,5,18,6
1,6,4,5,6,4
1,4,3,4,6,5
0,4,6,5,3,4
0,5,7,6,29,4
0,9,9,-1,33,-1
1,4,4,5,32,-1
1,2,2,2,18,1
1,4,6,5,31,8
1,4,5,5,29,7
0,5,7,6,31,9
0,8,8,8,21,7
1,3,6,5,25,7
0,3,7,5,21,6
1,2,3,3,25,7
0,3,6,5,20,3
1,4,5,5,29,6
1,5,2,4,24,5
0,3,5,4,3,4
0,4,5,5,9,5
1,5,4,5,16,5
0,3,6,5,17,6
1,4,4,5,20,6
0,3,4,4,3,4
1,2,3,3,20,7
0,6,5,6,16,5
0,3,6,5,26,6
1,3,5,4,31,6
1,7,4,6,25,7
1,3,3,3,16,4
0,4,3,4,11,7
0,3,6,4,18,7
0,4,4,4,11,4
1,4,4,4,20,5
1,5,5,5,25,6
0,3,3,3,20,5
1,3,5,4,25,7
0,5,6,6,31,6
0,5,6,6,29,3
0,6,4,6,22,2
0,5,4,5,25,8
1,4,1,3,13,4
0,5,4,5,26,4
0,4,6,5,31,7
1,4,6,5,21,4
1,5,4,5,18,5
0,5,5,5,26,3
1,7,4,6,21,6
0,4,4,4,21,4
0,3,4,4,20,6
1,4,4,5,27,7
0,5,6,6,9,7
1,5,2,4,26,9
1,6,4,5,20,7
0,6,7,7,18,3
0,5,6,6,21,4
0,5,6,6,9,5
1,3,4,4,11,8
0,1,2,2,26,5
1,4,3,4,11,4
1,5,4,5,26,7
0,6,5,6,29,5
1,4,6,5,29,9
0,4,6,5,13,2
0,6,6,7,23,4
0,4,5,5,26,6
0,7,6,7,29,4
0,3,4,4,13,3
1,4,4,5,10,7
0,4,3,3,0,3
1,4,5,5,26,6
1,8,4,7,20,4
1,3,2,3,13,4
1,1,1,1,16,4
1,5,5,5,27,7
1,4,6,5,26,6
1,2,2,2,22,4
0,0,4,2,21,5
1,2,5,4,16,4
1,5,5,5,29,7
1,4,4,5,32,9
0,4,4,4,20,3
0,4,7,5,29,7
0,5,4,5,20,7
0,2,4,3,23,5
1,1,3,2,11,3
1,2,1,2,16,4
1,4,6,5,27,6
0,3,5,5,31,8
0,6,5,6,26,8
0,3,1,2,34,2
1,5,5,5,32,7
1,3,5,4,25,5
1,3,5,4,18,4
0,3,7,5,9,4
1,5,7,6,26,5
0,7,8,8,33,8
1,2,2,2,26,5
1,4,5,5,33,7
0,2,6,4,13,5
0,4,7,6,23,6
1,7,7,8,31,9
0,4,4,4,31,8
0,3,6,5,9,5
0,5,7,6,9,8
0,6,6,7,23,4
0,4,6,6,26,7
0,2,7,5,33,6
0,7,8,8,33,-1
0,4,6,5,9,4
0,6,7,7,18,6
1,3,2,3,16,4
0,6,9,8,33,8
1,5,4,5,14,4
0,4,6,6,26,6
1,5,4,5,23,8
0,3,7,6,13,5
1,3,2,3,18,4
0,6,4,6,18,8
0,4,1,3,11,1
0,3,6,5,26,5
0,3,4,4,6,4
1,5,3,4,6,6
0,6,5,6,33,3
0,4,6,5,26,5
1,2,2,2,16,3
0,3,4,4,25,5
0,4,3,4,18,5
1,3,6,4,18,6
0,4,6,5,22,0
0,4,6,6,23,6
1,3,3,4,26,5
1,3,5,4,13,4
0,4,6,5,16,4
1,2,8,5,3,6
1,4,4,4,23,7
1,4,3,4,7,6
1,3,5,4,11,5
0,7,4,6,4,3
0,4,5,5,31,2
1,2,3,3,20,5
1,5,4,5,29,7
1,2,6,4,15,4
1,4,8,6,27,-1
0,3,1,2,1,5
1,3,2,3,15,6
1,4,4,4,33,6
0,6,-1,9,33,8
1,4,3,4,29,7
0,4,5,5,33,8
0,2,4,4,9,4
0,2,1,2,6,7
1,6,6,6,18,5
1,4,6,5,26,5
0,6,4,5,23,6
1,3,5,4,21,6
1,4,4,4,18,3
0,6,6,6,18,6
0,6,1,4,11,5
1,4,3,4,25,6
1,3,4,4,27,8
1,5,6,6,23,8
1,4,6,5,27,8
0,5,7,7,31,6
1,4,3,4,16,5
0,4,3,4,7,5
0,2,5,3,13,5
1,4,6,5,16,6
1,5,3,5,9,4
1,5,4,5,21,4
0,6,6,7,33,6
0,4,6,6,33,5
1,3,3,4,12,6
0,3,4,4,18,5
0,4,4,4,13,4
1,5,5,6,26,8
0,4,3,4,16,4
0,7,6,7,31,7
1,6,7,7,33,7
1,6,5,6,33,5
1,7,6,7,18,6
0,3,4,4,9,5
0,5,7,7,26,5
0,2,5,4,6,6
0,4,4,4,20,7
1,4,5,5,13,5
1,4,4,4,26,6
1,0,2,1,9,4
0,4,5,5,20,6
0,3,6,5,26,6
1,2,6,4,20,7
0,4,5,5,11,6
0,5,7,7,13,6
0,7,6,7,26,9
0,4,7,6,25,7
1,6,6,7,17,5
0,4,2,3,11,5
0,4,6,5,22,7
0,3,3,3,3,4
1,5,6,6,18,6
0,2,4,3,26,5
1,6,5,6,33,8
1,4,7,6,33,9
0,3,3,3,18,4
1,5,6,6,33,9
1,6,3,5,16,7
0,3,4,3,22,7
0,2,2,2,18,3
0,7,7,8,31,7
0,5,6,6,21,6
1,3,4,4,18,6
0,4,8,7,18,4
0,5,6,6,16,5
0,7,7,7,22,6
0,5,9,8,30,8
0,3,5,4,11,4
0,4,2,3,16,7
0,4,5,5,9,5
1,5,2,4,7,3
0,3,4,4,9,3
1,6,5,6,26,8
1,4,3,4,20,5
1,2,6,4,33,8
0,6,3,5,13,3
1,4,4,5,33,5
0,6,6,7,29,8
0,5,7,6,11,4
0,3,5,4,9,2
1,5,4,5,27,9
1,4,4,5,32,7
0,4,7,6,25,5
1,5,4,5,27,5
1,6,6,6,31,5
0,4,6,5,21,5
1,1,6,4,9,4
0,5,3,5,29,7
0,3,7,5,22,7
1,3,6,5,29,8
1,5,7,7,17,4
1,4,2,3,16,6
0,4,5,5,33,2
0,7,7,8,17,7
0,4,6,5,22,4
1,4,3,4,15,5
1,1,2,2,12,4
0,4,6,6,18,5
0,4,3,4,18,7
0,5,4,5,18,5
1,6,8,8,33,8
0,6,6,7,33,8
1,4,6,6,23,6
0,5,6,6,26,8
0,4,4,4,15,4
1,4,5,5,13,3
1,2,6,4,33,7
0,6,7,7,20,7
1,5,4,5,16,5
1,8,6,7,31,7
1,3,4,4,33,7
1,4,4,5,23,6
1,4,6,5,33,7
0,5,7,6,11,6
0,5,6,6,21,6
0,4,7,6,9,7
0,5,9,7,20,7
0,5,6,6,20,5
0,5,8,7,33,8
1,4,4,4,16,5
1,5,4,5,25,9
1,5,6,6,22,4
0,3,7,5,33,5
1,4,5,5,23,8
1,4,4,4,16,6
1,3,7,5,26,5
0,4,3,3,17,4
0,4,4,4,18,4
0,6,5,6,21,5
1,5,5,6,6,4
0,5,8,7,18,5
0,6,7,7,26,7
0,5,1,3,15,3
1,4,3,4,16,6
1,3,4,4,31,6
1,5,6,6,26,7
1,3,1,2,13,2
1,5,5,6,26,5
1,4,5,4,4,4
1,5,3,4,18,5
1,5,1,4,23,5
0,2,8,5,17,5
0,2,4,3,4,2
0,4,5,5,7,5
1,3,3,4,20,6
0,4,6,6,23,2
1,2,3,3,2,3
1,3,3,3,23,5
1,3,3,3,18,6
0,4,7,6,18,-1
0,4,6,5,31,6
0,5,6,6,26,7
1,7,2,5,3,4
0,4,5,5,13,3
1,6,4,6,26,8
1,5,4,5,30,8
0,7,7,8,33,8
1,3,6,5,22,8
0,3,4,4,16,5
0,3,4,4,21,6
0,5,4,5,33,6
1,2,4,3,1,5
1,4,3,4,27,5
1,3,3,3,7,5
1,4,4,4,33,7
0,5,4,5,15,5
1,4,6,6,18,5
1,2,4,3,13,3
1,7,5,7,29,5
0,7,3,5,11,3
0,4,5,5,18,7
1,6,6,7,21,5
0,4,7,6,26,7
1,4,3,3,20,9
0,3,5,4,17,0
1,7,6,7,29,6
1,7,8,8,29,4
1,4,6,5,21,7
1,7,6,7,29,9
0,4,6,5,7,6
0,3,5,5,7,6
0,2,3,3,9,6
1,6,5,6,23,8
1,7,8,8,33,9
0,3,6,5,33,6
0,6,6,7,30,6
1,4,3,4,13,4
1,4,6,5,33,8
0,3,2,3,6,1
0,7,8,8,33,8
1,5,5,6,26,5
1,6,9,8,33,7
0,3,5,4,30,9
0,4,7,6,13,6
0,5,8,7,18,4
0,6,5,6,26,6
0,4,4,4,4,4
1,6,3,5,31,7
0,7,7,8,33,7
1,4,4,4,20,5
0,7,6,8,27,8
0,7,7,8,13,8
0,5,6,6,20,5
1,4,6,6,30,6
1,6,6,7,26,8
1,2,2,2,20,4
1,5,7,7,31,7
1,5,1,3,15,5
0,6,7,7,21,4
1,4,3,4,29,5
0,2,2,2,4,5
1,6,5,6,30,7
0,1,7,5,17,6
0,3,8,6,23,6
1,4,5,5,16,5
1,4,2,4,13,6
0,5,8,7,21,5
1,6,6,6,9,5
0,3,4,4,13,5
1,3,5,5,18,5
1,5,5,5,26,4
0,4,2,3,1,4
0,7,6,7,9,8
1,4,4,4,31,7
0,4,5,5,21,5
0,3,3,3,9,3
0,7,8,9,23,7
1,5,6,6,24,8
1,3,3,3,21,3
1,5,5,5,21,2
1,6,7,7,30,4
0,4,6,6,31,4
0,5,5,5,21,5
1,5,7,6,23,5
0,5,6,6,26,6
0,5,5,6,18,6
1,2,2,2,31,6
0,7,7,8,29,6
1,4,3,3,13,4
0,6,6,7,29,5
0,4,7,6,18,6
0,6,8,7,23,6
0,7,4,6,6,8
0,4,3,4,27,6
0,5,7,7,18,5
1,8,8,9,31,8
0,4,2,4,6,5
0,7,4,6,17,7
1,3,4,4,9,4
1,5,7,7,29,7
1,4,2,4,27,7
1,3,3,3,9,3
0,4,7,6,16,5
0,8,6,8,23,6
0,4,6,5,26,6
1,6,6,7,33,7
1,3,6,5,16,5
0,4,3,4,16,5
0,4,4,5,22,5
1,6,7,7,15,6
0,3,5,4,16,7
1,3,4,4,18,5
1,8,4,7,33,5
1,6,5,6,18,4
0,6,6,7,18,6
1,5,4,5,9,4
0,5,8,7,26,8
0,6,4,6,9,7
0,4,7,6,17,5
1,4,4,5,16,5
0,5,4,5,26,7
1,3,5,4,1,1
1,4,4,4,26,7
1,5,8,7,33,9
0,4,6,5,25,4
0,2,5,4,9,5
0,4,4,4,9,7
0,6,8,7,31,6
0,4,6,5,15,2
0,6,8,8,26,7
0,5,9,8,29,9
1,5,2,4,33,8
1,8,7,8,26,9
1,2,1,2,6,4
1,6,5,6,29,5
1,5,4,5,26,6
1,-1,8,-1,33,9
0,7,7,8,33,8
0,4,4,5,18,7
0,5,4,5,13,4
1,6,7,7,27,8
0,5,7,7,23,3
1,5,3,4,25,7
1,5,6,6,29,7
0,4,4,5,18,5
1,3,4,4,18,8
1,6,6,7,33,9
0,5,4,5,13,4
1,1,2,1,4,3
1,8,9,9,33,6
1,4,4,5,22,6
1,3,3,3,26,7
1,4,4,4,18,6
0,5,5,5,22,6
0,6,6,7,18,5
0,2,2,2,17,5
0,4,6,5,28,5
0,4,5,5,9,4
0,4,3,4,18,5
0,4,5,5,19,5
0,3,3,4,9,4
1,3,0,1,6,2
0,4,4,4,9,4
0,7,5,6,4,3
0,5,6,6,18,7
1,3,4,3,20,2
1,7,6,7,26,6
0,7,6,7,21,4
0,3,6,5,16,4
0,4,5,5,26,6
1,5,5,5,33,7
1,4,6,5,33,8
0,8,9,9,33,8
1,3,3,3,9,5
0,5,6,6,18,5
0,4,5,5,18,6
1,5,4,5,29,5
0,5,5,6,23,3
0,6,6,6,26,7
0,6,7,7,6,4
0,4,3,4,13,5
