sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,4,4,6,32,5
1,5,6,5,7,8
1,7,7,6,29,9
1,5,6,4,15,4
0,4,7,5,20,9
1,3,5,5,9,5
1,3,4,7,25,4
0,5,6,6,25,9
1,2,6,5,33,8
1,5,7,8,26,3
1,4,5,5,29,4
1,5,6,4,15,6
1,5,6,1,25,5
1,2,1,2,34,3
1,4,4,6,7,5
0,4,8,5,23,4
1,5,6,5,26,7
0,3,4,3,21,5
1,4,1,7,1,8
0,6,7,1,23,7
0,4,6,8,9,4
1,5,5,9,21,4
0,2,6,4,33,6
0,6,4,7,33,6
1,3,6,5,21,5
1,2,6,6,30,8
1,2,5,5,26,6
1,6,2,6,7,4
1,3,4,5,6,7
1,7,6,7,21,1
0,2,7,5,33,4
1,4,5,5,18,5
0,6,1,7,31,4
0,5,6,7,18,6
0,4,3,5,3,7
1,4,5,5,32,5
0,2,3,5,15,5
0,5,1,7,17,7
1,5,5,5,30,4
1,6,4,6,27,5
0,5,3,6,13,8
1,2,5,6,30,5
1,4,6,6,17,7
1,6,8,4,18,5
0,2,4,3,17,3
1,3,1,4,7,6
0,4,1,5,24,3
1,5,4,5,7,6
0,3,1,1,29,8
1,2,0,3,30,7
0,4,4,6,17,4
1,4,4,5,25,6
1,5,5,5,6,6
0,3,4,5,26,4
0,5,4,5,13,3
1,4,4,5,15,4
0,2,5,4,25,6
0,5,5,6,33,4
1,2,7,1,15,5
1,5,8,3,26,5
1,4,5,7,8,8
0,3,2,3,13,8
0,4,2,7,9,8
0,4,4,5,18,7
1,6,6,2,17,6
0,4,7,1,32,6
1,4,3,4,15,6
1,4,1,5,20,8
1,5,4,4,33,4
1,7,5,1,26,8
1,5,7,6,26,8
0,4,4,4,33,4
1,4,5,6,17,6
1,3,4,5,34,6
0,6,7,4,31,6
0,5,4,5,31,4
0,4,5,4,33,7
1,4,7,6,17,4
1,3,4,1,26,6
0,4,6,2,32,7
0,4,6,5,33,7
1,4,7,6,17,8
1,5,3,3,25,6
0,4,5,5,33,4
1,3,7,5,26,6
1,3,4,9,33,8
0,3,6,4,5,5
1,4,2,5,8,4
1,7,4,3,15,6
1,6,6,1,34,7
0,5,7,1,7,5
0,5,0,2,21,1
0,5,5,5,26,7
1,5,5,6,18,5
0,7,6,2,9,1
0,4,7,7,18,9
0,5,5,6,18,6
0,2,6,4,33,6
1,6,5,2,33,5
1,4,4,4,24,7
1,6,5,4,23,7
1,5,3,5,29,6
0,6,4,5,26,7
0,7,4,6,1,8
0,3,7,4,26,4
1,2,6,5,18,8
1,2,4,6,26,5
0,6,4,5,33,9
0,3,8,4,17,8
1,6,7,6,8,7
1,3,7,6,26,4
0,6,4,5,33,5
0,4,6,4,32,4
1,6,4,5,20,6
1,4,3,6,20,7
0,4,7,3,15,1
1,2,7,4,33,6
1,5,4,7,9,5
1,7,7,5,17,8
0,2,6,0,23,5
0,5,6,4,20,4
1,2,5,7,18,6
1,5,5,4,17,8
1,4,4,5,32,5
0,3,1,6,30,6
0,4,4,6,18,6
0,4,7,5,9,4
1,3,7,3,33,6
0,4,7,9,27,6
1,5,4,5,20,5
0,5,4,9,27,6
1,4,5,5,20,7
1,4,3,5,26,4
0,4,6,5,15,7
1,6,6,6,21,7
0,4,6,8,23,5
0,3,3,6,30,3
1,5,8,7,26,8
1,5,4,5,17,4
1,4,1,6,13,5
1,5,7,4,21,6
1,2,6,7,26,7
1,3,5,4,9,7
0,5,4,4,9,7
0,4,4,3,33,5
0,7,8,3,15,7
0,6,3,5,32,3
0,7,5,4,26,7
0,2,6,4,23,7
1,7,4,6,25,4
1,4,5,7,9,5
0,6,5,7,33,8
0,5,7,1,13,7
1,4,4,4,26,1
1,7,6,9,18,3
1,4,8,4,25,4
1,3,3,2,20,5
1,5,7,7,33,8
0,8,5,5,6,7
0,5,8,5,21,4
0,5,6,6,25,4
0,5,4,3,8,4
0,4,6,6,13,5
0,2,4,5,21,4
0,4,8,4,30,6
0,1,6,2,9,6
0,3,1,5,15,4
0,5,5,5,33,5
1,4,3,5,31,7
0,7,8,4,9,6
0,4,7,5,3,9
1,5,3,8,20,8
1,3,3,4,23,1
1,5,0,7,29,5
0,4,6,7,27,7
1,3,6,8,6,1
1,3,4,6,31,5
0,4,4,5,21,3
0,4,5,6,15,5
0,3,7,6,13,6
0,4,3,6,33,6
0,5,3,4,33,9
1,5,4,6,9,5
0,4,6,5,21,5
0,4,4,5,1,7
0,3,6,6,26,6
1,5,6,1,26,7
0,5,1,6,26,9
0,5,4,7,33,4
0,5,6,5,6,5
1,5,6,6,23,7
1,7,1,2,33,5
1,4,5,4,26,7
0,6,6,6,8,5
0,5,1,3,33,6
0,3,4,6,26,4
0,4,5,8,26,6
1,2,3,7,14,4
0,7,6,7,18,6
0,4,1,7,21,4
1,6,8,5,13,6
0,4,6,5,7,7
1,6,8,6,33,4
1,3,8,6,18,6
1,6,4,5,7,7
0,2,4,7,18,4
0,5,7,5,26,8
1,3,5,3,1,7
1,3,8,6,7,9
1,5,6,2,30,6
0,3,7,4,30,8
0,4,5,4,17,6
1,5,5,8,15,4
0,3,1,5,18,9
0,5,7,5,23,7
1,3,2,6,9,4
0,3,5,8,33,1
0,5,6,4,26,7
1,2,6,6,33,1
0,0,1,6,9,4
1,5,7,5,9,8
0,2,6,2,17,8
0,6,4,5,29,7
1,5,6,6,6,6
0,0,6,4,31,1
0,6,2,2,18,4
0,4,5,4,23,5
0,6,8,6,30,6
0,4,7,4,23,6
1,6,4,6,18,6
0,4,3,7,32,8
0,3,6,5,27,5
1,4,6,5,33,4
0,5,4,6,8,5
0,6,3,6,15,6
1,4,6,3,17,5
1,0,8,2,20,7
1,4,4,5,18,7
1,4,6,7,29,1
0,4,6,7,7,4
1,3,4,6,9,8
1,6,1,4,21,4
1,2,4,6,25,6
1,6,1,4,9,3
1,4,4,4,33,8
1,4,4,6,21,5
1,5,5,3,32,7
1,6,6,4,30,6
0,5,4,2,9,8
1,4,3,9,7,5
1,3,6,5,13,4
0,3,6,6,7,3
0,7,4,5,20,5
0,0,1,6,27,7
0,4,6,5,9,6
0,4,4,5,25,7
1,1,4,6,14,6
1,7,6,7,26,9
1,4,8,6,17,5
1,6,7,4,26,5
0,4,6,3,26,8
0,6,5,3,18,4
0,6,4,4,18,4
1,5,5,4,21,8
0,5,4,5,32,1
1,2,6,4,21,7
0,4,6,5,31,4
0,4,4,5,18,8
1,5,6,4,23,5
0,4,6,5,33,9
1,4,0,6,26,5
0,6,3,3,18,7
1,5,3,6,31,6
0,6,3,4,30,5
1,4,6,6,8,8
0,3,5,4,9,4
0,0,5,4,1,6
1,4,7,4,32,4
0,2,4,4,17,5
0,4,7,4,6,8
1,6,6,3,26,6
1,7,7,6,18,4
0,7,2,4,27,8
0,6,5,4,26,9
0,5,6,6,6,5
0,4,4,4,30,9
0,4,7,4,21,4
1,2,5,5,17,7
0,3,4,5,23,7
0,7,6,3,33,4
0,6,1,4,30,5
1,3,7,4,13,4
0,4,1,5,26,6
1,7,5,6,34,7
1,4,6,3,5,6
0,5,4,5,26,5
1,5,5,6,27,4
1,5,5,4,30,4
0,5,6,4,33,4
0,5,8,5,25,4
1,4,5,2,31,4
0,4,6,5,26,4
1,7,4,4,32,4
0,7,4,5,25,4
0,3,4,4,18,5
1,6,1,7,17,9
1,5,6,6,21,5
1,5,1,6,30,9
1,3,6,7,23,4
1,4,6,4,33,7
0,6,7,6,17,9
0,4,8,1,18,5
1,5,4,6,33,9
0,2,9,3,33,5
0,2,1,8,25,7
0,5,3,5,33,4
1,2,7,3,25,1
1,5,8,3,21,6
1,6,6,7,17,6
1,9,3,6,21,4
1,4,7,7,33,7
1,3,6,4,20,1
0,4,6,6,33,4
1,6,3,7,33,4
0,5,4,5,25,8
1,7,7,7,6,7
0,4,6,7,18,5
0,4,5,6,5,9
1,5,6,6,34,4
0,3,6,5,33,1
0,5,5,3,34,7
0,5,7,6,34,6
0,4,3,6,9,7
0,4,4,5,29,1
0,6,7,2,30,7
0,5,5,4,21,7
1,4,6,5,26,4
1,5,4,5,18,5
1,5,6,7,23,6
1,2,3,8,18,7
0,2,5,6,7,4
0,4,4,5,26,6
1,5,6,7,25,5
0,4,7,6,23,6
1,4,4,6,6,3
0,3,6,6,20,6
1,3,7,4,29,4
0,3,4,6,20,7
0,7,6,4,33,3
1,5,8,4,33,4
1,6,2,6,5,4
0,2,7,5,9,6
1,4,4,4,27,7
1,4,4,4,26,7
0,5,3,6,20,4
1,4,5,6,33,7
0,7,4,4,6,6
1,3,5,9,33,5
1,5,4,1,25,7
0,5,5,4,23,9
1,7,4,5,18,7
1,4,5,4,30,6
0,7,7,6,5,8
1,2,4,2,32,1
1,4,4,5,23,4
0,4,4,5,17,1
1,3,6,7,26,5
1,2,4,4,5,7
0,0,6,4,18,7
0,4,1,5,18,5
0,5,1,5,33,5
1,4,5,1,26,6
1,3,3,7,25,1
0,5,4,4,33,5
0,4,2,3,6,4
0,5,6,6,30,4
0,2,4,9,34,4
0,5,8,4,31,5
1,4,3,6,26,4
1,5,2,6,18,5
1,6,6,6,20,8
1,2,3,6,21,4
0,2,4,5,18,6
1,1,6,4,26,6
0,5,3,4,34,6
1,4,0,6,25,8
1,5,4,7,33,5
1,3,4,5,9,7
0,2,2,6,31,5
0,5,4,7,24,6
1,5,7,4,9,8
0,2,5,5,29,5
0,4,7,5,13,9
1,5,5,6,32,7
0,4,5,5,23,4
0,4,6,7,20,6
1,4,6,5,33,4
1,6,4,9,15,6
1,5,3,6,33,5
1,4,4,2,3,8
1,2,7,5,30,5
0,2,1,5,6,4
1,2,4,4,21,5
0,4,6,3,8,6
1,5,3,6,23,8
0,2,7,5,14,8
0,2,4,6,26,8
0,5,4,4,23,8
0,2,5,5,21,6
0,2,8,9,15,8
1,4,3,6,21,7
0,5,7,0,29,4
1,4,4,7,13,6
1,6,7,5,33,1
1,4,6,1,17,5
1,5,4,7,13,5
0,3,6,6,13,8
0,4,5,4,13,7
1,5,5,6,25,9
1,3,9,4,0,9
1,4,8,6,9,6
0,4,4,8,21,9
0,9,4,7,6,6
1,6,6,8,29,8
0,3,6,4,24,5
1,7,7,4,8,7
1,5,3,7,25,5
0,6,1,6,26,6
1,4,5,5,18,8
0,0,6,5,26,1
1,4,4,3,33,6
0,4,6,7,3,6
0,2,2,4,17,6
1,2,6,4,21,5
1,2,8,6,15,6
1,6,6,7,18,4
1,5,8,7,26,5
0,5,4,2,33,8
1,3,4,7,15,7
0,6,3,4,26,5
0,5,5,4,18,9
0,4,8,6,33,4
1,5,4,3,17,4
0,3,6,2,21,6
0,4,6,5,32,6
1,3,4,5,17,7
1,3,5,6,18,6
1,6,6,0,1,7
0,4,7,5,26,5
0,6,8,2,21,6
1,5,6,4,18,8
0,4,4,5,26,4
0,6,4,7,0,5
1,6,2,5,3,5
1,4,4,5,23,6
0,4,3,3,18,7
0,4,4,5,33,6
0,3,6,9,30,7
1,6,3,4,30,7
1,3,5,4,20,7
1,2,2,7,30,5
0,5,6,7,30,4
0,2,3,1,26,4
1,5,6,6,24,4
1,0,6,5,33,6
1,3,7,5,21,8
0,6,6,4,33,7
0,4,4,8,33,7
1,4,4,4,24,4
1,2,6,4,21,4
1,4,4,7,33,8
0,5,4,9,30,5
0,4,3,4,33,6
0,5,4,6,3,4
1,5,5,7,31,7
1,4,5,5,27,4
1,6,6,6,33,6
1,4,3,5,29,6
1,4,8,7,17,6
0,7,7,5,26,4
1,7,3,5,18,5
1,5,6,4,18,1
0,4,5,4,7,9
0,1,8,8,33,7
1,4,3,5,30,5
1,6,3,6,13,4
0,4,8,5,18,9
1,5,6,3,18,8
1,3,3,4,1,6
1,4,4,5,30,9
1,3,4,6,1,5
0,2,2,4,26,8
1,4,3,5,18,7
1,3,5,6,33,7
1,2,6,3,34,4
1,3,4,7,21,7
0,5,5,2,29,5
1,3,9,2,26,5
0,5,3,4,33,6
1,1,4,3,18,5
1,6,5,7,18,1
1,5,6,4,3,6
1,4,4,1,15,9
1,4,4,5,13,7
1,4,4,4,25,9
0,4,3,5,18,8
0,2,4,5,33,7
0,7,3,2,26,4
0,4,7,4,33,4
0,2,4,6,18,7
1,4,7,4,31,9
0,2,6,5,25,7
1,3,6,7,13,7
1,4,5,5,3,8
1,0,5,3,31,8
1,5,4,5,29,5
1,5,6,6,33,8
0,3,7,4,33,8
0,4,4,5,25,5
0,6,3,7,9,4
1,4,4,5,18,6
1,5,6,6,17,7
0,3,8,5,9,6
1,4,3,4,7,7
0,4,6,6,30,5
1,7,4,1,31,8
1,5,7,5,27,5
0,2,4,4,26,8
1,3,5,5,21,6
1,8,4,7,18,7
1,6,6,4,18,6
0,8,5,4,30,8
0,7,4,5,26,4
0,5,8,4,26,5
1,2,8,6,26,3
0,6,8,6,25,7
0,4,2,5,33,7
0,8,3,6,24,5
0,6,4,4,20,1
0,5,4,6,7,6
0,6,7,6,33,7
1,2,5,2,26,4
1,4,3,5,33,6
0,3,3,4,23,6
0,4,3,7,26,5
1,5,5,3,8,6
0,4,7,5,25,1
0,6,3,3,33,6
0,3,8,5,30,4
0,2,7,6,18,9
0,4,3,4,27,4
1,5,4,4,9,9
0,3,5,7,21,8
0,8,7,4,20,5
0,7,3,5,26,1
1,1,3,5,18,4
0,7,8,7,29,3
0,3,3,6,34,5
1,6,7,4,30,6
0,7,6,5,9,7
1,2,3,6,30,9
0,3,4,3,33,8
1,4,8,5,27,8
0,4,5,7,18,7
1,3,4,6,33,9
0,4,1,4,23,5
0,3,7,4,7,4
0,5,3,8,30,4
0,4,4,4,20,8
0,4,6,5,15,7
1,5,4,5,26,9
1,3,7,8,33,7
0,4,2,7,29,7
1,6,6,5,13,7
1,4,7,2,23,6
1,2,4,2,13,8
0,7,4,6,33,5
0,4,1,5,33,6
0,4,4,5,15,5
1,3,3,4,33,4
0,5,7,3,33,7
0,3,4,4,31,6
0,6,6,3,33,5
0,5,4,6,29,6
1,4,4,5,33,6
1,4,7,5,18,5
0,2,6,4,24,7
1,4,8,5,33,5
1,4,5,5,6,7
1,7,4,6,26,7
0,4,7,4,8,4
1,1,6,5,18,4
0,0,7,6,33,4
1,5,7,6,30,6
0,5,4,1,33,7
1,5,4,5,30,8
0,2,1,8,25,5
0,5,7,6,15,8
1,6,7,2,20,6
1,2,4,4,21,8
0,3,1,5,20,4
1,6,4,8,30,6
0,5,4,1,33,4
0,4,5,4,13,6
0,2,4,3,26,7
0,4,4,5,18,6
1,2,6,5,31,4
0,4,4,5,17,4
1,7,5,6,18,5
0,5,6,4,30,8
1,5,8,6,30,4
0,0,4,5,29,4
0,5,7,6,33,6
0,5,3,5,6,4
0,3,6,4,21,1
1,4,5,2,33,9
1,3,8,2,33,8
1,2,5,6,33,5
0,0,4,5,34,4
0,2,3,6,6,4
1,6,7,7,26,6
1,4,7,5,33,7
1,5,3,1,33,4
1,4,5,4,33,1
1,5,5,9,8,7
0,6,4,5,23,9
1,2,6,4,25,6
1,3,4,4,33,5
0,5,3,5,15,7
0,6,3,5,26,5
0,6,1,4,13,4
0,4,6,5,6,9
1,6,1,5,25,3
1,3,6,2,34,5
1,4,4,4,31,4
0,5,6,4,23,9
0,7,4,4,33,3
1,3,7,3,9,7
1,3,8,7,33,6
0,5,7,2,26,4
1,8,2,5,23,1
0,5,7,2,31,7
0,4,0,4,33,4
0,3,6,2,31,5
0,1,6,1,18,4
0,4,4,4,26,7
0,3,3,4,33,5
0,7,5,4,15,4
1,4,4,3,15,5
1,5,5,3,13,5
0,5,4,2,30,4
1,2,5,7,9,4
0,3,7,6,29,5
1,4,5,4,33,8
1,0,4,4,33,8
1,4,4,6,18,7
0,4,6,6,32,7
0,5,4,7,21,5
0,4,6,5,33,6
0,6,6,6,18,8
1,2,2,6,30,5
0,3,6,5,30,6
0,5,4,5,25,6
1,4,1,7,32,6
1,5,1,3,26,6
1,3,3,4,17,5
0,4,4,5,34,8
0,3,6,4,20,4
0,3,7,6,33,5
1,4,7,4,25,6
0,4,8,9,32,4
1,6,5,6,29,5
1,6,7,5,31,3
0,6,4,4,23,8
1,7,4,5,21,7
0,5,6,4,33,6
0,4,7,2,17,4
0,5,7,8,20,5
1,4,5,3,30,8
1,5,5,6,26,1
1,6,6,5,8,1
1,0,1,6,33,9
1,4,6,4,26,8
0,5,4,6,30,5
0,2,4,3,20,5
1,2,4,5,8,4
1,6,1,6,23,6
0,1,6,6,18,6
0,2,5,7,29,4
1,3,4,5,30,4
0,5,4,4,33,5
1,4,2,7,29,7
1,4,7,5,18,7
1,6,3,3,18,4
1,4,3,6,23,8
0,4,4,6,30,7
1,9,4,5,33,8
1,6,5,5,23,8
1,3,6,6,23,4
0,4,4,7,18,4
1,2,2,4,20,4
1,4,7,6,30,7
1,5,4,5,23,4
1,4,2,5,33,7
1,6,5,3,25,6
1,2,5,7,26,8
0,6,1,9,18,4
1,5,4,4,32,4
1,7,6,6,5,8
0,2,4,7,7,6
1,5,0,8,27,6
1,5,1,5,15,1
0,5,6,5,21,9
0,1,5,5,7,8
0,6,3,4,33,7
0,5,4,6,33,4
1,2,1,4,33,7
1,5,3,2,24,6
1,3,5,1,20,7
1,3,6,7,31,7
1,4,6,5,5,5
1,4,3,2,8,9
0,4,8,8,23,4
1,0,4,4,30,1
1,8,1,6,26,5
1,2,4,5,8,7
1,4,7,7,6,5
0,2,3,5,21,7
1,4,4,5,33,6
0,6,5,6,31,4
1,5,8,6,34,5
0,7,3,7,25,8
0,2,4,4,30,7
1,6,2,5,17,7
0,2,4,5,17,4
0,8,4,6,9,5
0,3,4,5,33,4
0,2,5,4,30,7
0,5,1,4,5,1
1,5,5,7,33,4
1,4,8,1,6,8
0,9,4,4,18,5
0,4,3,3,18,7
0,4,7,3,32,5
0,5,5,6,25,4
1,4,1,5,33,6
1,5,2,7,25,5
0,4,4,4,26,6
0,3,4,7,33,5
0,6,2,4,21,8
1,5,6,6,33,5
1,2,4,2,31,7
1,0,6,6,26,6
0,2,1,4,33,7
1,5,4,5,33,9
1,6,4,5,6,9
0,2,5,6,33,7
1,5,3,5,33,5
0,5,4,5,6,4
1,7,3,5,8,7
0,4,7,5,26,5
1,3,6,6,18,4
0,5,7,5,9,7
0,3,6,3,25,8
0,4,4,2,9,1
0,5,1,4,17,7
0,3,5,5,1,5
0,3,5,7,25,5
0,1,7,7,21,6
1,7,1,7,21,7
1,5,4,3,5,4
0,3,7,4,21,9
0,4,8,6,8,6
0,5,4,5,18,8
1,7,6,6,32,9
1,4,5,1,24,5
0,5,1,4,18,5
0,4,6,4,26,6
0,3,4,5,1,4
0,3,7,4,25,8
0,3,8,3,20,6
1,3,6,3,25,7
0,6,5,6,17,5
0,6,7,5,30,4
0,4,5,6,33,4
0,2,3,5,5,4
0,2,5,6,31,9
1,2,6,6,15,8
1,3,6,6,33,7
1,4,5,5,25,8
1,3,7,6,5,7
0,2,7,7,33,6
1,4,2,1,33,3
0,4,4,5,18,1
0,3,7,7,21,4
1,4,7,6,18,8
0,5,4,3,13,4
0,5,6,4,25,7
1,1,6,4,18,6
0,5,6,4,17,6
0,4,4,6,29,6
1,4,4,0,9,6
1,2,7,4,8,5
0,2,6,1,20,7
0,6,4,6,20,4
1,6,6,5,14,7
0,4,4,5,13,5
0,9,6,3,1,5
1,4,8,5,18,8
0,2,6,6,30,6
1,4,6,4,18,1
0,4,2,6,1,4
1,6,3,5,29,5
0,7,3,3,21,9
